영화명,감독,제작국가,개봉일,장르,누적관객수,누적매출액
사스콰치 선셋,"데이비드 젤너, 나단 젤너",미국,2025-07-02,코미디,,
힘을 낼 시간,남궁선,한국,2024-12-18,드라마,,
신명,,한국,2025-06-02,드라마,777701.0,7407342580.0
된장이,조한별,한국,2025-07-02,코미디,,
파과,민규동,한국,2025-04-30,액션,546552.0,5221993700.0
퀴어,루카 구아다니노,이탈리아,2025-06-20,드라마,11028.0,114540100.0
바다호랑이,정윤철,한국,2025-06-25,드라마,,
천국은 없다,손승웅,한국,2025-06-25,액션,,
엘리오,"도미 시, 매들린 샤라피안, 아드리안 몰리나",미국,2025-06-18,애니메이션,591746.0,5436452120.0
위장수사,,몽고,2025-06-27,범죄,,
씨지브이 에이아이 영화제 수상작,,한국,2025-06-27,드라마,,
씨지브이 에이아이 영화제 노미네이트 작품전,,한국,2025-06-27,드라마,,
세하별,김우석,한국,2025-06-25,가족,,
몽정 시아버지와 며느리,,한국,2025-06-20,드라마,,
먹고 싶던 동창의 맛,,한국,2025-06-20,드라마,,
태극기 집회 / 7년의 기록,,한국,2025-06-19,다큐멘터리,,
여관엄마,노세기,한국,2025-06-17,드라마,,
28년 후,대니 보일,미국,2025-06-19,공포(호러),346120.0,3098292460.0
어거스트 버진,호나스 트루에바,스페인,2022-03-24,드라마,,
후레루.,오카다 마리,일본,2025-06-25,애니메이션,,
모네의 수련. 물과 빛의 마법,,이탈리아,2025-06-25,다큐멘터리,,
네이키드 런치,데이비드 크로넨버그,"캐나다,영국",2025-06-25,드라마,,
F1 더 무비,조셉 코신스키,미국,2025-06-25,드라마,2393834.0,25821549560.0
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,,일본,2025-05-29,애니메이션,71227.0,678331010.0
잉글리시 내셔널 발레 '백조의 호수',,영국,2025-06-24,공연,,
악마들,김재훈,한국,2023-07-05,액션,80476.0,805214658.0
악의 도시,현우성,한국,2025-06-20,스릴러,,
페니키안 스킴,웨스 앤더슨,미국,2025-05-28,드라마,19014.0,175033050.0
귤레귤레,고봉수,한국,2025-06-11,드라마,,
승리의 시작,권순도,한국,2025-06-19,다큐멘터리,,
"극장판 뱅드림! 잇츠 마이고!!!!! 후편: 노래하자, 우리가 될 수 있는 노래 & 필름 라이브",카키모토 코다이,일본,2025-06-19,애니메이션,,
풀,이수정,한국,2025-06-18,다큐멘터리,,
탐정 키엔: 사라진 머리,빅터 부,베트남,2025-06-18,공포(호러),,
차은우 브이알 콘서트 : 메모리즈 (CHA EUN-WOO VR CONCERT : MEMORIES ),김지애,한국,2025-06-18,공연,,
잔챙이,박중하,한국,2025-06-18,드라마,,
니캡,,"아일랜드,영국",2025-06-18,코미디,,
기빗올: 우리들의 썸머,사쿠라기 유헤이,일본,2025-06-18,애니메이션,,
기타맨,"김종면, 이선정",한국,2025-05-30,드라마,,
"다시 만날, 조국","정윤철, 정상진",한국,2025-05-14,다큐멘터리,,
어네스트와 셀레스틴: 멜로디 소동,,프랑스,2025-06-11,애니메이션,,
공작새,변성빈,한국,2024-10-23,드라마,,
퀸메리호: 저주받은 항해,개리 쇼어,미국,2025-06-13,미스터리,,
검은 수녀들,권혁재,한국,2025-01-24,미스터리,1651348.0,15964611180.0
나이트 오브 울브즈,스티븐 C. 밀러,미국,2025-06-12,액션,,
인피니트 15주년 콘서트 리미티드 에디션 더 무비,손석,한국,2025-06-11,공연,,
어브로드,지오바니 푸무,한국,2025-06-11,미스터리,,
초상화의 이면. 아카데미아 카라라의 보물들,,이탈리아,2025-05-28,다큐멘터리,,
미야자키 하야오: 자연의 영혼,레오 파비에,프랑스,2025-05-28,다큐멘터리,,
브링 허 백,"대니 필리푸, 마이클 필리푸",미국,2025-06-06,공포(호러),62673.0,526119800.0
드래곤 길들이기,딘 데블로이스,미국,2025-06-06,액션,1778151.0,17835062630.0
극장판 블리치 : 페이드 투 블랙,아베 노리유키,일본,2025-06-06,애니메이션,,
야당,황병국,한국,2025-04-16,범죄,3368648.0,31913029430.0
2035: 더 그린라이트,박재인,한국,2025-06-04,미스터리,,
미치광이 피에로,장 뤽 고다르,"프랑스,이탈리아",2025-06-04,드라마,,
아마데우스 오리지널 리마스터링,밀러스 포먼,미국,2025-06-04,드라마,,
분리수거,이소민,한국,2025-05-21,드라마,,
위키드,존 추,미국,2024-11-20,판타지,2195165.0,21677201940.0
신성한 나무의 씨앗,모함마드 라술로프,독일,2025-06-03,드라마,,
주차금지,손현우,한국,2025-05-21,스릴러,,
해피해피,이수성,한국,2025-05-29,드라마,,
스위트홈 감독판,김홍익,한국,2025-05-29,스릴러,,
기억의 조각,이광복,한국,2025-05-29,드라마,,
거룩한 밤: 데몬 헌터스,임대희,한국,2025-04-30,액션,770420.0,7145112600.0
나미비아의 사막,야마나카 요코,일본,2025-05-07,드라마,,
씨너스: 죄인들,라이언 쿠글러,미국,2025-05-28,액션,57722.0,651742780.0
브릭레이어,레니 할린,헝가리,2025-05-28,액션,,
바운디 라이브 인 런던,,일본,2025-05-28,공연,,
우주전쟁: 라스트 아포칼립스,,미국,2025-04-24,스릴러,,
쓰나미 10.0,,미국,2025-04-17,기타,,
7인의 사무라이,,미국,2025-04-10,액션,,
메가 게이터,,미국,2025-04-03,액션,,
투모로우 아마겟돈,,미국,2025-05-14,드라마,,
파이널 데스티네이션 블러드라인,"아담 B. 스테인, 잭 리포브스키",미국,2025-05-14,공포(호러),70307.0,705711590.0
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,쿄고쿠 타카히코,일본,2021-09-15,애니메이션,196931.0,1872787000.0
말없는 소녀,,아일랜드,2023-05-31,드라마,,
케이 넘버,조세영,한국,2025-05-14,다큐멘터리,,
릴로 & 스티치,딘 플라이셔 캠프,미국,2025-05-21,애니메이션,471299.0,4438117060.0
미션 임파서블: 파이널 레코닝,크리스토퍼 맥쿼리,미국,2025-05-17,액션,3377496.0,33115290290.0
어른 김장하,김현지,한국,2023-11-15,다큐멘터리,,
마마무 2021 웨어 아 위 콘서트 더 무비,손석,한국,2021-12-03,공연,,
클로즈 유어 아이즈,빅토르 에리세,스페인,2024-11-06,드라마,,
서브스턴스,코랄리 파르쟈,영국,2024-12-11,스릴러,507433.0,4950444520.0
대가족,양우석,한국,2024-12-11,드라마,289598.0,2577236820.0
달팽이의 회고록,아담 엘리어트,호주,2025-04-30,애니메이션,,
"부정선거, 신의 작품인가",,한국,2025-05-21,다큐멘터리,22947.0,207743960.0
프리 폴,올레흐 우라자이킨,러시아,2025-05-21,SF,,
전장의 유산,김채영,한국,2025-05-21,다큐멘터리,,
로데오,롤라 키보론,프랑스,2025-05-21,드라마,,
그리드맨 유니버스,아메미야 아키라,일본,2025-05-21,애니메이션,,
드라이브,박동희,한국,2024-06-12,스릴러,55613.0,503856455.0
사막을 건너 호수를 지나,"박소현, 송영윤",한국,2021-12-30,다큐멘터리,,
보이 인 더 풀,류연수,한국,2025-05-14,드라마,,
도토리,허영철,한국,2024-06-27,드라마,,
복수는 나의것,이마무라 쇼헤이,일본,2024-11-06,범죄,,
귀신들,황승재,한국,2025-04-09,SF,,
언더 유어 베드,사부,한국,2023-12-13,스릴러,,
극장판 블리치 : 다이아몬드 더스트 리벨리온,아베 노리유키,일본,2025-05-16,애니메이션,,
썬레이: 폴른 솔저,,영국,2025-05-15,범죄,,
노스페라투,로버트 에거스,미국,2025-01-15,공포(호러),,
압수수색: 내란의 시작,김용진,한국,2025-04-23,다큐멘터리,41578.0,400446420.0
위드 러브,조나단 유세비오,미국,2025-05-14,액션,,
세븐 베일즈,아톰 에고이안,캐나다,2025-05-14,드라마,,
극장판 닌자보이 란타로: 도쿠타케 닌자대 최강의 군사,후지모리 마사야,일본,2025-05-14,애니메이션,,
그 자연이 네게 뭐라고 하니,홍상수,한국,2025-05-14,드라마,,
고양이 수비대: 모나리자를 지켜라!,바실리 로벤스키,러시아,2025-05-14,애니메이션,,
썬더볼츠＊,제이크 슈레이어,미국,2025-04-30,액션,913622.0,9199158360.0
하보우만의 약속,이장호,한국,2025-04-16,다큐멘터리,,
여성국극 끊어질듯 이어지고 사라질듯 영원하다,유수연,한국,2025-03-19,다큐멘터리,,
기도의 힘,알렉스 켄드릭,미국,2020-04-09,드라마,,
비욘드 유토피아,매들린 개빈,미국,2024-01-31,다큐멘터리,,
탈주,이종필,한국,2024-07-03,액션,2544280.0,24075867072.0
남으로 가는 길,김상래,"한국,몽고",2025-04-02,드라마,,
가면-감춰진 진실,,캐나다,2021-12-31,다큐멘터리,,
시대혁명,,영국,2022-10-13,다큐멘터리,,
페퍼톤스 인 시네마 : 에브리씽 이즈 오케이,조윤수,한국,2025-05-09,공연,,
브루탈리스트,브래디 코베,미국,2025-02-12,드라마,52350.0,531029220.0
해피엔드,소라 네오,일본,2025-04-30,드라마,79842.0,777628780.0
우리는 공산당이 싫어요,,한국,2025-05-09,다큐멘터리,,
로망스,한만택,한국,2025-02-27,코미디,,
쫑알쫑알 똘똘이: 이상한 마을 대모험,이상호,한국,2025-04-30,애니메이션,,
데드 어게인,손현우,한국,2025-05-08,스릴러,,
드라이브 인 타이페이,조지 황,프랑스,2025-04-11,액션,,
어웨이크,이윤호,한국,2022-08-24,미스터리,,
호랑이 소녀,,말레이시아,2025-05-07,공포(호러),,
"폴킴, 친애하는 당신께",,한국,2025-05-07,다큐멘터리,,
에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마,오윤동,한국,2025-05-07,공연,,
기동전사 건담 역습의 샤아,토미노 요시유키,일본,2025-05-07,애니메이션,,
기동전사 건담 F91,토미노 요시유키,일본,2025-05-07,애니메이션,,
괴수 8호: 미션 리컨,미야 시게유키,일본,2025-05-07,애니메이션,27346.0,261433520.0
천박사 퇴마 연구소: 설경의 비밀,김성식,한국,2023-09-27,판타지,1901915.0,18509843557.0
하얼빈,우민호,한국,2024-12-24,드라마,4896225.0,46823971480.0
장인과 사위,최이현,한국,2024-02-15,코미디,,
극장판 블리치 : 메모리즈 오브 노바디,아베 노리유키,일본,2025-05-02,애니메이션,,
시크릿쥬쥬 마법의 하모니,조경호,한국,2025-05-01,애니메이션,61155.0,555298460.0
영동선,최종학,한국,2025-04-30,드라마,,
지충일기,"전성우, 문승욱",한국,2025-05-01,드라마,,
볼레로: 불멸의 선율,안느 퐁텐,프랑스,2025-04-30,드라마,,
리셋,배민,캐나다,2025-04-30,다큐멘터리,,
사유리,시라이시 코지,일본,2025-04-16,공포(호러),,
스노우 폭스2: 몬스터타운 구하기,,미국,2025-04-26,애니메이션,9519.0,76051800.0
A MINECRAFT MOVIE 마인크래프트 무비,자레드 헤스,미국,2025-04-26,어드벤처,1344309.0,12615397670.0
장흥1950: 마을로 간 전쟁,구자환,한국,2025-04-02,다큐멘터리,,
라르고 윈치: 프라이스 오브 머니,올리비에 마세-드파스,프랑스,2025-04-24,액션,,
"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",카키모토 코다이,일본,2025-04-24,애니메이션,,
"초혼, 다시 부르는 노래",조정래,한국,2025-03-19,드라마,,
이제 다시 시작하려고 해,호나스 트루에바,스페인,2025-04-23,드라마,,
우리가 빛이라 상상하는 모든 것,파얄 카파디아,인도,2025-04-23,드라마,,
오 마이 갓,최진욱,한국,2025-04-23,기타,,
"아도 스페셜 라이브 ""신조우"" 인 시네마",,일본,2025-04-23,공연,,
드롭,크리스토퍼 랜던,미국,2025-04-23,스릴러,,
핸섬가이즈,남동협,한국,2024-06-26,코미디,1763296.0,16481831900.0
베러맨,마이클 그레이시,영국,2025-04-09,뮤지컬,,
차박- 살인과 낭만의 밤,형인혁,한국,2023-09-13,스릴러,,
마리아,파블로 라라인,영국,2025-04-16,드라마,13571.0,120503860.0
아마추어,제임스 하위스,미국,2025-04-09,액션,92619.0,870418950.0
하루 또 하루,박용기,한국,2025-04-17,드라마,,
극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,일본,2021-01-27,애니메이션,2171626.0,20849644460.0
당골,홍태선,한국,2025-03-13,다큐멘터리,,
미국 대침몰,,미국,2025-02-20,액션,,
무법자: 대결투,,미국,2025-02-20,액션,,
메갈로돈 2: 크레이지,,미국,2025-03-06,액션,,
트랜스머신: 휴머노이드,,미국,2025-03-13,액션,,
레드브릿지-나쁜 녀석들 더 비기닝,,일본,2025-03-13,액션,,
레드브릿지-나쁜 녀석들,,일본,2025-03-06,액션,,
괴담-도시전설,,일본,2025-03-06,공포(호러),,
울산의 별,정기혁,한국,2024-01-24,드라마,,
스트리밍,조장호,한국,2025-03-21,스릴러,102316.0,990234120.0
브리짓 존스의 일기: 뉴 챕터,마이클 모리스,영국,2025-04-16,코미디,41104.0,376784020.0
더 테러 라이브 : 라스트 쇼,와타나베 카즈타카,일본,2025-04-16,범죄,,
네버 렛 고: 악의 끈,알렉산더 아야,미국,2025-04-16,공포(호러),,
열혈검사,견자단,중국,2025-04-16,액션,,
犬견 : 버려진 아이들,서하늘,한국,2020-10-18,범죄,,
류이치 사카모토: 플레잉 디 오케스트라 2014,,일본,2025-04-09,공연,,
승부,김형주,한국,2025-03-26,드라마,2133815.0,19933027560.0
호비와 마법의 카네이션,카와무라 토모히로,일본,2024-09-25,애니메이션,,
소방관,곽경택,한국,2024-12-04,드라마,3840551.0,36145572270.0
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,리카르드 쿠소,호주,2025-04-12,애니메이션,,
블랙 워런트,티보 타카스,미국,2025-04-10,범죄,,
백설공주와 일곱난쟁이,,미국,2025-04-10,애니메이션,,
거너,디미트리 로고데티스,미국,2025-04-10,액션,,
콘클라베,에드워드 버거,미국,2025-03-05,드라마,314141.0,2992126420.0
공포특급,김진웅,한국,2025-04-02,공포(호러),,
파란,강동인,한국,2025-04-09,미스터리,,
울지 않는 아이,이혁종,한국,2025-04-09,드라마,,
본회퍼: 목사.스파이.암살자,토드 코라르니키,미국,2025-04-09,드라마,,
"침몰 10년, 제로썸",윤솔지,한국,2024-11-21,다큐멘터리,,
올파의 딸들,,프랑스,2025-04-02,다큐멘터리,,
미스터 로봇,이대희,한국,2025-04-04,애니메이션,15513.0,132301700.0
프랑켄슈타인 아버지,최재영,한국,2025-04-02,드라마,,
로비,하정우,한국,2025-04-02,드라마,257114.0,2431734640.0
고독한 미식가 더 무비,마츠시게 유타카,일본,2025-03-19,드라마,79334.0,737840480.0
은혼 더 파이널,,일본,2021-07-22,애니메이션,27220.0,260795910.0
퇴마록,김동철,한국,2025-02-21,애니메이션,490404.0,4656067400.0
헤레틱,"스콧 벡, 브라이언 우즈",미국,2025-04-02,스릴러,24740.0,196496900.0
주디,루퍼트 굴드,영국,2020-03-25,드라마,88718.0,729693480.0
루이스 웨인: 사랑을 그린 고양이 화가,,미국,2022-04-06,드라마,36926.0,361177120.0
부전시장,김시우,한국,2025-03-27,드라마,,
고양이키스 : 당신에게 마음을 여는 순간,황수빈,한국,2025-02-05,드라마,,
예르미타시 예술의 힘,,이탈리아,2021-05-12,다큐멘터리,,
화성특급,제레미 페랭,프랑스,2025-04-02,애니메이션,,
행복의 노란 손수건,야마다 요지,일본,2025-04-02,드라마,,
친구 누나 자연산,,한국,2025-04-02,드라마,,
세븐틴 [라잇 히어] 월드 투어 인 시네마,오윤동,한국,2025-04-02,공연,14728.0,395921500.0
목소리들,지혜원,한국,2025-04-02,다큐멘터리,,
김동하 : 커넥트,,한국,2025-04-02,공연,,
기동전사 건담 지쿠악스 비기닝,츠루마키 카즈야,일본,2025-04-02,애니메이션,,
극장판 파워 디지몬 더 비기닝,타구치 토모히사,일본,2023-11-29,애니메이션,24440.0,237344200.0
원피스 필름 레드,타니구치 고로,일본,2022-11-30,애니메이션,184609.0,1975324848.0
열화청춘 리마스터링,담가명,홍콩,2025-03-31,드라마,,
귀멸의 칼날: 남매의 연,소토자키 하루오,일본,2021-11-10,애니메이션,60315.0,597668430.0
침범,"김여정, 이정찬",한국,2025-03-12,미스터리,79338.0,716494200.0
스즈메의 문단속-하이라이트 필름콘서트,,한국,2025-03-26,애니메이션,,
행복의 나라,추창민,한국,2024-08-14,드라마,690188.0,6380996857.0
아머: 현금수송차,,미국,2025-03-27,범죄,,
4월의 불꽃,"송영신, 도영찬",한국,2025-03-27,드라마,,
"끝, 새로운 시작",마할리아 벨로,영국,2025-03-26,드라마,,
"극장판 요아소비 5주년 기념 돔 라이브 2024 ""초현실""",,일본,2025-02-21,공연,,
그랜드 투어,미겔 고미스,포르투갈,2025-03-26,드라마,,
크래쉬: 디렉터스컷,데이비드 크로넨버그,캐나다,2025-03-26,범죄,,
이매진 드래곤스: 라이브 프롬 더 할리우드 볼,,미국,2025-03-26,공연,,
연극 빵야,,한국,2025-03-26,공연,,
라스트 마일,츠카하라 아유코,일본,2025-03-26,스릴러,38479.0,327885800.0
언젠틀 오퍼레이션,가이 리치,영국,2025-03-19,액션,,
화이트 버드,마크 포스터,미국,2025-03-12,드라마,,
에밀리아 페레즈,자크 오디아르,프랑스,2025-03-12,뮤지컬,20603.0,170662400.0
컴패니언,드류 행콕,미국,2025-03-19,스릴러,,
은혼 금혼편 온 씨어터,후지타 요이치,일본,2025-03-19,애니메이션,,
악령: 깨어난 시체,,베트남,2025-03-19,공포(호러),29098.0,342724800.0
블랙 백,스티븐 소더버그,미국,2025-03-19,드라마,,
백설공주,마크 웹,미국,2025-03-19,판타지,172790.0,1632247010.0
존 윅 4,채드 스타헬스키,미국,2023-04-12,액션,1913536.0,19844662953.0
면접교섭,이주아,한국,2024-12-25,다큐멘터리,,
나이트콜,,프랑스,2025-03-05,액션,,
노보케인,"댄 버크, 로버트 올슨",미국,2025-03-12,액션,24010.0,216551400.0
엑소시스트: 더 데빌,호세 프렌데스,미국,2024-09-25,공포(호러),,
커플지옥,앙리,한국,2025-03-13,공포(호러),,
마이 스위트 크레이지 시스터,,미국,2025-03-13,코미디,,
극장판 진격의 거인 완결편 더 라스트 어택,하야시 유이치로,일본,2025-03-13,애니메이션,884406.0,9013127750.0
호조,권혁만,한국,2025-03-12,뮤지컬,,
제로베이스원 더 퍼스트 투어 [타임리스 월드] 인 시네마,"오윤동, 김하민",한국,2025-03-12,공연,,
와일드 투어,미야케 쇼,일본,2025-03-12,드라마,,
숨,윤재호,한국,2025-03-12,다큐멘터리,,
200% 울프: 최강 푸들이 될 거야!,알렉스 슈타더만,호주,2025-03-12,애니메이션,12153.0,92992900.0
괜찮아 괜찮아 괜찮아!,김혜영,한국,2025-02-26,가족,100592.0,897041800.0
핑크퐁과 호기: 새 친구 니니모 1부,,한국,2025-03-08,애니메이션,,
핑크퐁 공룡 유치원,,한국,2025-03-08,애니메이션,,
준스톤 이어원,,한국,2025-03-06,다큐멘터리,,
카라바조. 영혼과 피,,이탈리아,2025-02-19,다큐멘터리,,
리얼 페인,제시 아이젠버그,미국,2025-01-15,드라마,,
울프맨,리 워넬,미국,2025-03-05,공포(호러),,
보더랜드,일라이 로스,미국,2025-03-05,판타지,,
폭락,현해리,한국,2025-01-15,드라마,,
만분의 일초,김성환,한국,2023-11-15,액션,,
액션동자,최영민,한국,2022-05-05,액션,,
꼬마 판다 팡의 아프리카 대모험,"리처드 클라우스, 카스텐 킬러리치",네덜란드,2025-01-22,애니메이션,,
말할 수 없는 비밀,서유민,한국,2025-01-27,판타지,817256.0,7794311600.0
육지것들,이황,한국,2023-06-08,코미디,,
프라도 위대한 미술관,발레리아 파리시,이탈리아,2021-06-09,다큐멘터리,,
백수아파트,이루다,한국,2025-02-26,미스터리,27136.0,236444380.0
하이퍼 프로젝션 연극 하이큐!! 쓰레기장의 결전,키노시타 워리,일본,2025-02-28,공연,,
미키 17,봉준호,미국,2025-02-28,어드벤처,2998400.0,29558031520.0
2147,,스페인,2025-02-27,SF,,
여강사의 이상한 자습시간,,한국,2025-02-13,드라마,,
몽정녀,,한국,2025-02-13,드라마,,
힘내라 대한민국,,한국,2025-02-27,다큐멘터리,58462.0,542533740.0
브로큰,김진황,한국,2025-02-05,범죄,192001.0,1781570620.0
캔터빌의 유령,,미국,2025-02-26,애니메이션,,
첫 번째 키스,츠카하라 아유코,일본,2025-02-26,드라마,,
차라리 죽여,김상훈,한국,2025-02-26,코미디,,
이찬원 콘서트 찬가: 디어 마이 찬스,"오정민, 반연진",한국,2025-02-26,공연,30268.0,756575000.0
사랑은 사라지지 않는다,에르완 르 뒥,프랑스,2025-02-26,드라마,,
베이비 어쌔신: 나이스 데이즈,사카모토 유고,일본,2025-02-26,액션,,
7인의 황후,신철승,한국,2025-02-26,코미디,,
컴플리트 언노운,제임스 맨골드,미국,2025-02-26,드라마,51936.0,500744210.0
설계자,이요섭,한국,2024-05-29,범죄,522366.0,4701368067.0
봉우야,고학,한국,2025-02-25,범죄,,
하이퍼 프로젝션 연극 하이큐!! 최강의 팀,키노시타 워리,일본,2025-02-21,공연,,
코넬의 상자,이현지,한국,2025-01-08,미스터리,,
히어,로버트 저메키스,미국,2025-02-19,드라마,,
패딩턴: 페루에 가다!,,"미국,영국,프랑스",2025-02-19,코미디,119057.0,1032844200.0
엘리: 몬스터 패밀리,"피엣 드 라이커, 예스퍼 묄러",독일,2025-02-14,애니메이션,17509.0,149329800.0
써니데이,이창무,한국,2025-02-19,드라마,,
