제목,감독,국가,개봉일,평점,장르
level 16,,,2018-02-20,6.761,
love don't cost a thing,,,2016-12-08,3.8,
love in a puff,,,2016-12-08,3.8,
marshall,,,2017-10-13,7.251,
my boss's daughter,,,2015-11-14,5.18,
oldsters,,,2021-07-21,6.328,
open season 2,,,2015-01-15,5.0,
osmosis jones,,,2015-06-11,5.8,
poseidon,,,2018-11-23,4.3,
same kind of different as me,,,2017-10-20,6.8,
school of rock,,,2016-05-07,0.0,
snervous tyler oakley,,,2015-12-11,5.4,
tears of the sun,,,2016-04-23,8.0,
the interview,,,2015-12-24,0.0,
the nutty professor ii: the klumps,,,2018-05-17,6.863,
turning point: 9/11 and the war on terror,,,2015-01-24,6.143,
welcome home roscoe jenkins,,,2015-03-18,6.791,
sparking joy,,,2015-12-24,6.553,
untold: crime & penalties,,,2021-08-31,7.109,
hometown cha-cha-cha,,,2015-03-18,6.791,
the ingenuity of the househusband,,,2016-10-26,5.656,
2 alone in paris,,,2015-01-16,5.0,
bread barbershop,,,2015-03-27,5.57,
thimmarusu,,,2015-09-05,5.6,
wind river,,,2017-08-03,7.434,
c kkompany,,,2015-09-24,5.959,
d.p.,,,2015-12-01,6.9,
deadly sins,,,2019-09-24,2.6,
emi: liya hai to chukana padega,,,,,
he's all that,,,2021-08-27,6.513,
i heart arlo,,,2018-02-14,5.2,
king of boys: the return of the king,,,2015-09-27,6.5,
koi aap sa,,,2016-06-02,6.7,
krishna cottage,,,2015-05-11,6.5,
kucch to hai,,,2018-09-22,6.923,
kyaa kool hai hum,,,2016-01-22,2.8,
kyaa kool hain hum 3,,,2016-01-22,2.8,
kyaa super kool hain hum,,,2015-04-25,6.5,
kyo kii... main jhuth nahin bolta,,,2019-06-16,0.0,
"lsd: love, sex aur dhokha",,,2015-07-15,6.5,
mission istaanbul: darr ke aagey jeet hai,,,,,
once upon a time in mumbaai,,,2015-03-06,4.9,
once upon a time in mumbai dobaara!,,,2015-03-06,4.9,
ragini mms,,,2018-01-19,5.714,
ragini mms 2,,,2018-01-19,5.714,
rebellion,,,2019-09-10,7.0,
ride on time,,,2016-08-17,4.4,
sas: rise of the black swan,,,2015-11-11,6.6,
shootout at lokhandwala,,,2016-06-29,4.5,
shor in the city,,,2016-09-09,5.423,
the dirty picture,,,2015-09-07,8.0,
titletown high,,,2016-09-09,5.423,
edens zero,,,2015-09-03,5.6,
family reunion,,,2019-10-04,0.0,
"bob ross: happy accidents, betrayal & greed",,,2021-08-25,6.8,
clickbait,,,2019-03-15,4.4,
john of god: the crimes of a spiritual healer,,,2017-10-11,6.268,
motel makeover,,,2015-11-10,2.0,
open your eyes,,,2015-08-21,10.0,
post mortem: no one dies in skarnes,,,2017-12-07,0.0,
really love,,,2020-10-16,6.5,
the november man,,,2015-09-05,5.6,
the old ways,,,2021-04-04,6.8,
the river runner,,,2021-08-25,6.1,
the water man,,,2020-09-13,6.111,
wheel of fortune,,,2020-11-01,5.3,
count me in,,,2021-08-24,6.923,
oggy oggy,,,2018-04-20,5.961,
untold: caitlyn jenner,,,2021-08-24,6.537,
boomika,,,2021-08-20,6.0,
boomika (hindi),,,2015-10-10,6.0,
boomika (malayalam),,,2019-02-28,5.4,
boomika (telugu),,,2015-10-10,6.0,
the witcher: nightmare of the wolf,,,2021-08-22,7.456,
manifest,,,2020-10-19,7.3,
comedy premium league,,,2015-07-13,6.962,
everything will be fine,,,2021-09-30,0.0,
gunshot,,,2018-10-03,7.2,
korean cold noodle rhapsody,,,2016-02-06,9.2,
man in love,,,2019-12-03,7.0,
sweet girl,,,2021-08-18,6.6,
the chair,,,2016-04-22,3.611,
the loud house movie,,,2021-08-20,7.354,
a faraway land,,,2020-07-22,4.0,
like crazy,,,2016-05-17,7.398,
black island,,,2021-08-17,5.944,
go! go! cory carson,,,2020-05-01,5.3,
memories of a murderer: the nilsen tapes,,,2021-08-18,5.994,
nneka the pretty serpent,,,2020-12-18,3.9,
o kadhal kanmani,,,2015-04-16,7.0,
out of my league,,,2020-10-22,6.941,
pahuna,,,2016-04-01,0.0,
the defeated,,,2019-06-24,0.0,
the secret diary of an exchange student,,,2021-08-18,6.461,
untold: deal with the devil,,,2021-08-17,6.902,
mother goose club,,,2015-05-28,6.865,
walk of shame,,,2015-09-30,6.991,
rascal does not dream of bunny girl senpai,,,2021-06-09,6.2,
the creative indians,,,2018-12-05,8.221,
unroyal,,,2020-03-20,4.5,
winx club,,,2015-05-28,6.865,
beckett,,,2021-08-04,6.212,
brand new cherry flavor,,,2016-01-01,0.0,
fast & furious spy racers,,,2015-05-06,6.833,
gone for good,,,2015-06-11,5.8,
grace and frankie,,,2015-11-27,0.0,
the kingdom,,,2018-11-28,6.0,
valeria,,,2016-04-01,0.0,
alrawabi school for girls,,,2016-10-28,4.0,
lokillo: nothing's the same,,,2021-08-12,7.1,
monster hunter: legends of the guild,,,2021-08-12,5.712,
bake squad,,,2016-08-24,5.7,
brother jekwu,,,2016-08-29,6.0,
la diosa del asfalto,Julián Hernández,Mexico,2015-08-01,5.4,"Dramas, Independent Movies, International Movies"
misha and the wolves,,,2021-09-03,6.89,
the kissing booth 3,,,2021-08-11,6.88,
the railway man,,,2015-09-05,5.6,
gabby's dollhouse,,,2015-05-02,0.0,
i need romance,,,2015-09-05,5.6,
las muñecas de la mafia,,Colombia,2016-09-25,4.857,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
the crowned clown,,,2016-08-28,5.0,
untold: malice at the palace,,,2021-08-10,7.181,
shaman king,,,2015-04-18,6.4,
quartet,,,2016-03-06,4.0,
slay,,,2021-04-26,6.0,
takizawa kabuki zero 2020 the movie,,,2020-12-04,0.0,
the paper tigers,,,2015-05-28,7.7,
hit & run,,,2016-07-14,0.0,
navarasa,,,2016-02-19,3.0,
quam's money,,,2020-12-11,3.8,
the swarm,,,2016-05-01,7.0,
vivo,,,2021-07-30,7.3,
chennai express,,,2019-09-21,2.0,
city of god: 10 years later,,,2015-01-01,0.0,
lady boss: the jackie collins story,,,2021-07-02,6.2,
'76,Izu Ojukwu,Nigeria,2016-11-25,6.1,"Dramas, International Movies"
aftermath,,,2015-10-06,0.0,
american masters: inventing david geffen,,,2015-10-01,5.4,
car masters: rust to riches,,,2015-10-31,0.0,
cocaine cowboys: the kings of miami,,,2015-01-25,0.0,
control z,,,2016-12-15,0.0,
cooking with paris,,,2015-04-22,7.0,
autumn's concerto,,,2015-10-01,0.0,
ije: the journey,,,2015-09-04,5.0,
office girls,,,2015-09-24,5.9,
pray away,,,2021-06-16,6.7,
shiny_flakes: the teenage drug lord,,,2021-08-02,7.521,
the prince who turns into a frog,,,2015-02-06,6.8,
top secret ufo projects: declassified,,,2015-12-25,5.4,
two fathers,,,2016-10-25,4.2,
you're my destiny,,,2015-04-17,0.0,
30 rock,,,2015-04-15,5.2,
44 cats,,,2015-11-01,5.2,
beowulf,,,2015-10-20,5.3,
boyka: undisputed,,,2016-08-01,7.154,
catch me if you can,,,2018-01-06,0.0,
cloudy with a chance of meatballs,,,2015-09-01,3.667,
darwin’s game,,,2016-08-17,4.4,
five feet apart,,,2019-03-14,8.233,
freedomland,,,2015-04-10,0.0,
friday night lights,,,2015-05-13,0.0,
good luck chuck,,,2017-05-05,6.3,
hunter x hunter (2011),,,2015-08-04,7.6,
i missed you: director's cut,,,2015-08-13,0.0,
inception,,,2015-05-19,4.0,
open season: scared silly,,,2015-12-18,6.0,
pineapple express,,,2019-12-26,3.012,
planet 51,,,2015-11-27,6.0,
poms,,,2019-05-09,6.6,
seabiscuit,,,2015-02-18,5.299,
space cowboys,,,2015-08-14,5.723,
team america: world police,,,2015-10-23,2.0,
the edge of seventeen,,,2016-11-18,7.16,
the haunting in connecticut 2: ghosts of georgia,,,2019-02-23,5.5,
the lincoln lawyer,,,2019-04-05,7.0,
the losers,,,2015-09-20,6.722,
the machinist,,,2015-09-05,5.6,
the original kings of comedy,,,2015-04-22,7.0,
valentine's day,,,2018-09-25,6.9,
charmed,,,2019-11-14,0.0,
the lost café,,,2015-01-25,10.0,
the vault,,,2017-09-01,4.9,
centaurworld,,,2015-08-01,0.0,
eyes of a thief,,,2015-06-06,6.5,
glow up,,,2019-08-15,0.0,
i'm glad i did,,,2020-07-28,7.567,
khawatir,,,,,
myth & mogul: john delorean,,,2017-06-06,3.3,
outer banks,,,2016-04-09,0.0,
pomegranates and myrrh,,,2015-09-08,0.0,
rurouni kenshin: the beginning,,,2021-06-04,7.7,
the last mercenary,,,2021-07-30,6.412,
flower girl,,,2017-03-16,6.4,
resort to love,,,2021-07-29,7.2,
transformers: war for cybertron: kingdom,,,2018-04-27,6.0,
bartkowiak,,,2021-07-28,6.0,
fantastic fungi,,,2019-08-30,7.241,
tattoo redo,,,2017-01-26,4.9,
the flash,,,2018-01-06,6.7,
the snitch cartel: origins,,,2016-01-18,0.0,
all american,,,2015-11-13,7.1,
department,,,2016-08-17,4.4,
hostage house,,,2021-07-27,6.4,
how to sell drugs online (fast),,,2016-09-20,7.8,
mighty express,,,2016-01-15,5.3,
mimi,,,2021-07-26,6.91,
plastic cup boyz: laughing my mask off!,,,2015-07-23,8.0,
the operative,,,2019-07-24,5.872,
the walking dead,,,2016-08-04,0.0,
wynonna earp,,,2018-06-03,3.0,
django unchained,,,2015-09-25,0.0,
a second chance:  rivals!,,,2019-09-21,7.0,
african america,,,2015-06-02,6.0,
bankrolled,,,2021-07-23,5.5,
blood red sky,,,2015-01-18,0.0,
feels like ishq,,,2015-01-07,3.25,
kingdom: ashin of the north,,,2021-07-23,7.109,
masters of the universe: revelation,,,2016-12-21,7.0,
revelations: the masters of the universe: revelation aftershow,,,2018-11-07,0.0,
sky rojo,,,2015-09-16,6.223,
the last letter from your lover,,,2021-07-23,7.386,
the movies that made us,,,2015-01-01,2.0,
9to5: the story of a movement,,,2015-08-06,6.2,
chhota bheem - dinosaur world,,,2018-09-08,7.0,
chhota bheem - neeli pahaadi,,,2018-08-11,6.0,
chhota bheem & ganesh,,,2015-08-28,2.0,
chhota bheem & krishna: mayanagari,,,2015-09-17,6.8,
chhota bheem & krishna: pataliputra- city of the dead,,,,,
chhota bheem and the broken amulet,,,2016-05-16,4.6,
chhota bheem and the crown of valhalla,,,2018-08-05,0.0,
chhota bheem and the incan adventure,,,2016-11-25,6.0,
chhota bheem and the shinobi secret,,,2015-12-25,5.4,
chhota bheem aur hanuman,,,,,
chhota bheem aur krishna,,,,,
chhota bheem aur krishna vs zimbara,,,2021-04-14,5.0,
chhota bheem in african safari,,,2016-09-16,6.5,
chhota bheem ka roosi romanch,,,2020-09-04,0.0,
chhota bheem: bheem vs aliens,,,2016-05-05,6.0,
chhota bheem: dholakpur to kathmandu,,,,,
chhota bheem: dus pe dus,,,2015-08-28,2.0,
chhota bheem: journey to petra,,,2015-09-04,5.0,
chhota bheem: master of shaolin,,,2016-12-21,7.0,
chhota bheem: the rise of kirmada,,,2016-02-19,5.82,
chicago med,,,2015-01-07,4.9,
cousins,,,2019-12-10,7.694,
wannabe courageous,,,2019-06-04,4.882,
words bubble up like soda pop,,,2021-07-22,7.332,
sanitation day,,,2021-01-29,4.7,
sexy beasts,,,2015-09-14,0.0,
too hot to handle: brazil,,,2018-08-01,0.0,
trollhunters: rise of the titans,,,2021-07-21,7.5,
milkwater,,,2021-02-22,4.7,
okupas,,,2015-04-15,5.2,
touch your heart,,,2015-03-20,0.0,
the tambour of retribution,,,2021-01-28,6.3,
cosmic sin,,,2021-03-12,4.0,
2 weeks in lagos,,,2019-10-19,2.0,
deep,,,2017-05-11,5.965,
