movieCd,movieNm,audiAcc,salesAcc,targetDt
20247063,바튼 아카데미,22587,214075896,20240301
20247444,월레스와 그로밋 더 클래식 컬렉션,11340,169751000,20240228
20235145,기적의 시작,16575,139392896,20240227
20040695,이프 온리,1027845,6865685260,20240223
20247437,브레드이발소: 셀럽 인 베이커리타운,200628,1717595580,20240504
20236295,듄: 파트2,2010321,23551119449,20240709
20234789,패스트 라이브즈,114943,1062543631,20240329
20247473,아이엠 티라노,45256,380985500,20240310
20236488,밥 말리: 원 러브,33938,308060744,20240320
20236732,가여운 것들,148224,1480918208,20240402
19970037,비트,5319,37540100,20240307
20230614,대결! 애니메이션,4244,30566263,20240306
20234808,생츄어리 2 : 쿼카가 너무해,7413,67141807,20240310
20236714,극장판 스파이 패밀리 코드 : 화이트,261502,2611007725,20240407
20232134,돌핀,1363,12154000,20240312
20247053,메이 디셈버,26428,246377850,20240319
20247782,랜드 오브 배드,43071,368330257,20240326
20247198,마담 웹,13442,125859460,20240318
19980003,태양은 없다,3371,24874900,20240313
20247593,용감한 돌고래 벨루와 바닷속 친구들,21720,159171880,20240324
20235562,인어공주: 마법물약의 비밀,8298,71792045,20240317
20247962,나이트 스윔,14090,133484800,20240324
20236568,목스박,16460,144823705,20240401
20247573,왓츠 러브,3138,27583751,20240321
20231459,탐정 말로,15385,115587600,20240326
20248393,이승윤 콘서트 도킹 : 리프트오프,11079,254205000,20240325
20231041,댓글부대,970344,9220699394,20240425
20248496,고질라 X 콩: 뉴 엠파이어,506726,5076739231,20240421
20219375,1980,36829,331141064,20240402
20235838,악은 존재하지 않는다,38988,383426243,20240424
20247780,비키퍼,98966,924006103,20240415
20248222,기동전사 건담 시드 프리덤,58401,634925983,20240705
20236230,씬,31745,290240626,20240409
20247673,오멘: 저주의 시작,177093,1821425750,20240423
20201502,유미의 세포들 더 무비,68686,538602730,20240414
20235613,스턴트맨,208520,2127146068,20240514
20236614,쿵푸팬더4,1766417,16493657847,20240519
20247294,골드핑거,31295,278450503,20240416
20248586,슈가│어거스트 디 투어 ‘디-데이’ 더 무비,24919,713360500,20240417
20228797,범죄도시4,11495435,109984206690,20240625
20248513,바람의 세월,15592,144910305,20240427
20248466,고스트버스터즈: 오싹한 뉴욕,50743,465388103,20240506
19950095,레옹 ,66460,496937450,20240430
20249318,챌린저스,74759,735664108,20240519
20247355,여행자의 필요,4099,37509039,20240429
20234619,로봇 드림,53440,513061747,20240925
20248493,몬스터 프렌즈,8040,67506195,20240430
20249353,꼬마참새 리차드: 신비한 보석 탐험대,24458,201190700,20240507
20233271,땅에 쓰는 시,7417,67864786,20240429
20203557,그녀가 죽었다,1236562,11805449996,20240709
20249313,"포켓몬스터: 성도지방 이야기, 최종장",150856,1329479845,20240512
20249133,극장판 실바니안 패밀리: 프레야의 선물,18171,145068110,20240506
20249517,애비게일,9305,73664350,20240517
20247783,혹성탈출: 새로운 시대,901098,9116743631,20240604
20249317,악마와의 토크쇼,90836,878298300,20240528
19950084,쇼생크 탈출,48947,428252356,20240521
20170321,목소리의 형태,282256,2223835814,20240510
20162629,하이큐!! 끝과 시작,104286,760324000,20240511
20249507,극장판 하이큐!! 쓰레기장의 결전,733903,7530018637,20241030
20249490,목화솜 피는 날,1052,9468000,20240513
20249305,가필드 더 무비,339094,2996702272,20240823
20236674,이프: 상상의 친구,100788,908411978,20240528
20249416,청춘 18X2 너에게로 이어지는 길,104586,1013696454,20240604
20236653,퓨리오사: 매드맥스 사가,1600701,16441962642,20240702
20249300,별처럼 빛나는 너에게 더무비-일섬일섬량성성 ,6049,58388700,20240527
20234045,설계자,514448,4630008794,20240611
20247860,바커스: 슈퍼스타가 될 거야,8546,60523600,20240602
20248879,드림 시나리오,24283,201355528,20240604
20249845,결속밴드 라이브 -항성-,3919,33111500,20240529
20179985,코코,3520878,27805505382,20240530
20191143,원더랜드,620887,5877111293,20240625
20240162,빼꼼: 미션 투 마스,9411,64112650,20240602
20249534,분노의 강,11608,98993917,20240604
20240195,명탐정 코난 VS 괴도 키드,107277,1062633900,20240616
20247397,존 오브 인터레스트,179204,1784417369,20240709
20240397,김준수 콘서트 무비 챕터 원 : 레크리에이션,33094,755247000,20250620
20248615,금지된 장난 ,2547,18766295,20240605
20240125,나쁜 녀석들: 라이드 오어 다이,128353,1275460573,20240612
20218459,드라이브,69277,624648809,20240620
20235974,인사이드 아웃 2,8760451,84145466806,20240820
20208245,핸섬가이즈,1767644,16520148189,20240806
20248465,하이재킹,1771095,16822849452,20240730
20240242,키타로 탄생 게게게의 수수께끼,23907,256735500,20240626
20240641,밤낚시,40131,44484000,20240630
20240479,타로,11413,108127400,20240615
20212932,탈주,2554562,24171597545,20240813
20240553,몽키맨,6627,46389000,20240618
20234622,북극백화점의 안내원,17585,155704700,20240625
20234413,프렌치 수프,31910,301533217,20240702
20240189,"1초 앞, 1초 뒤",18418,160354824,20240625
20247811,콰이어트 플레이스: 첫째 날,548916,5345548335,20240716
20241342,우마무스메 프리티 더비 로드 투 더 탑,3800,37325276,20240628
20167301,아가씨(확장판),27689,234972650,20240702
20240541,언더더씨: 마법 산호초를 찾아서,19344,162477855,20240707
20240926,만천과해,12815,97470700,20240710
20235926,퍼펙트 데이즈,100401,946768994,20240812
20030003,클래식,20055,146423873,20240703
20208911,탈출: 프로젝트 사일런스,681789,6647496989,20240730
20240735,러브 라이즈 블리딩,12709,86489200,20240712
20240850,극장판 도라에몽: 진구의 지구 교향곡,80829,693079100,20240801
20240984,박정희: 경제대국을 꿈꾼 남자,3707,35536839,20240710
20241343,우마무스메 프리티 더비 새로운 시대의 문,46507,496800589,20240801
20240781,플라이 미 투 더 문,33283,310480013,20240718
20224666,파일럿,4710803,43152804201,20241022
20240983,명탐정 코난: 100만 달러의 펜타그램,707842,6882617214,20240813
20241002,이매큘레이트,17665,164071473,20240723
20248880,그리고 바통은 넘겨졌다,2528,15860700,20240717
19960126,비포 선라이즈,71554,603846503,20240722
20241984,2023 영탁 단독 콘서트 : 탁쇼2,25607,640030500,20240726
20247440,슈퍼배드 4,1539379,14002048857,20240825
20247781,데드풀과 울버린,1962077,20329419968,20240826
20242349,이준호 콘서트 : 다시 만나는 날,4327,108169000,20240724
20249733,사랑의 하츄핑,1222520,10972637392,20241020
20242098,헬로카봇 올스타 스페셜,32355,265288100,20240805
20233038,리볼버,223135,2086981887,20240813
20212336,수카바티: 극락축구단,8563,76476978,20240802
20231042,빅토리,503486,4507399767,20240930
20241591,블랙핑크 월드투어 [본 핑크] 인 시네마,11331,283124000,20240806
20204271,행복의 나라,696518,6438467134,20240903
20241924,극장총집편 봇치 더 록! 전편,45340,520106200,20240813
20241337,트위스터스,615325,6387922869,20240910
20229365,필사의 추격,95325,844053025,20240827
20249188,에이리언: 로물루스,1998630,20405247130,20240930
20242473,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,54811,1369972500,20240822
20240328,10 라이브즈,25700,204882100,20240818
20242911,마야,19158,239011250,20240820
20225969,늘봄가든,375009,3613800477,20240910
20241098,극장판 블루 록 -에피소드 나기-,100110,900996900,20241212
20240925,"안녕, 할부지",250528,2317495639,20240930
20242794,임영웅│아임 히어로 더 스타디움,350215,9926099500,20241022
